Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Candidate evaluation
327,Vanderbilt University,3.76,Bachelors,San Antonio,M,0.0,0,1,1,ML Engineer,02/01,05/03,Lawyer,06/03,08/05,N/A,N/A,N/A,2.99,0
328,University of Central Florida,2.35,Bachelors,Phoenix,N/A,1.0,0,N/A,0,Research Assistant,05/04,05/06,Senior Data Scientist,05/06,03/08,Junior SWE,03/08,09/08,8.9,0
329,Louisiana State University (LSU),3.83,Masters,Philadelphia,M,1.0,0,0,4,Senior Data Scientist,03/01,10/03,Teaching Assistant,12/03,05/04,Lawyer,07/04,07/06,4.24,1
330,Indiana University Bloomington,3.99,Bachelors,San Antonio,M,1.0,1,1,0,ML Engineer,12/02,01/04,ML Engineer,03/04,12/04,N/A,N/A,N/A,9.33,1
331,Texas A&M University,2.79,Bachelors,San Diego,F,1.0,1,N/A,4,Teaching Assistant,09/01,01/02,Senior Data Scientist,01/02,10/03,Lawyer,11/03,05/04,9.99,0
332,University of Virginia,2.99,PhD,Houston,N/A,N/A,1,N/A,4,Research Assistant,01/06,06/08,Teaching Assistant,08/08,02/11,ML Engineer,04/11,02/12,3.06,0
333,University of South Carolina,3.87,Bachelors,Dallas,F,0.0,1,1,3,Lawyer,02/07,04/09,Junior SWE,06/09,06/10,ML Engineer,06/10,12/10,1.3,0
334,Columbia University,3.92,PhD,Phoenix,M,N/A,0,1,2,Senior Data Scientist,05/04,01/05,Lawyer,03/05,08/06,Junior SWE,10/06,07/08,8.47,0
335,Purdue University,3.85,Masters,Los Angeles,F,N/A,1,1,0,Lawyer,05/01,01/04,Teaching Assistant,02/04,02/05,ML Engineer,05/05,05/06,2.06,1
336,Indiana University Bloomington,3.75,Bachelors,Los Angeles,F,1.0,0,0,1,Teaching Assistant,09/00,05/03,ML Engineer,06/03,03/05,Junior SWE,06/05,10/05,3.56,1
337,University of Washington,2.01,PhD,New York City,M,1.0,0,0,3,Senior Data Scientist,10/01,05/04,Junior Data Scientist,07/04,10/05,Senior SWE,01/06,10/07,3.39,1
338,Texas A&M University,3.13,Masters,San Diego,M,0.0,1,1,4,Lawyer,01/03,09/03,Teaching Assistant,10/03,02/06,Junior SWE,05/06,12/08,7.5,1
339,University of Miami,2.21,Bachelors,New York City,M,N/A,1,N/A,0,Teaching Assistant,07/00,06/02,ML Engineer,06/02,12/04,ML Engineer,02/05,06/05,9.14,1
340,Dartmouth College,3.96,Masters,Chicago,N/A,0.0,1,N/A,4,Teaching Assistant,10/02,07/04,Lawyer,08/04,08/05,Teaching Assistant,09/05,04/07,1.95,0
341,Louisiana State University (LSU),2.56,Masters,Phoenix,F,N/A,1,0,4,Senior SWE,01/06,08/08,ML Engineer,10/08,11/10,Research Assistant,01/11,08/12,4.64,0
342,University of Texas at Austin,3.97,Bachelors,San Diego,F,0.0,0,0,3,Teaching Assistant,04/05,07/05,Teaching Assistant,09/05,10/07,ML Engineer,10/07,03/08,3.94,0
343,Stanford University,3.08,PhD,San Jose,F,1.0,0,0,0,Junior Data Scientist,12/07,07/10,Junior Data Scientist,08/10,11/11,ML Engineer,12/11,03/13,3.24,1
344,University of Michigan,2.98,Bachelors,San Diego,F,1.0,0,1,1,Research Assistant,01/01,01/02,Teaching Assistant,02/02,03/04,Junior SWE,04/04,08/05,9.52,0
345,Rice University,3.87,Bachelors,New York City,M,N/A,1,N/A,1,ML Engineer,04/07,02/09,Research Assistant,02/09,08/11,Lawyer,08/11,11/13,5.37,0
346,Indiana University Bloomington,3.7,PhD,San Jose,M,1.0,1,N/A,3,Research Assistant,05/09,12/11,Senior Data Scientist,01/12,08/14,Senior SWE,10/14,06/15,8.43,0
347,Iowa State University,2.93,Masters,San Jose,M,1.0,1,1,0,ML Engineer,02/09,04/10,Junior SWE,04/10,03/11,Junior SWE,06/11,12/11,9.43,0
348,Cornell University,2.38,Masters,Dallas,M,0.0,0,1,4,ML Engineer,09/05,02/07,Teaching Assistant,02/07,10/09,Junior SWE,11/09,08/11,9.05,0
349,University of Alabama,2.22,PhD,Phoenix,N/A,N/A,1,1,1,Junior SWE,08/08,04/11,Senior SWE,06/11,03/12,Junior Data Scientist,05/12,04/14,8.44,0
350,New York University (NYU),2.32,PhD,Houston,F,0.0,0,0,3,Senior Data Scientist,08/08,05/10,N/A,N/A,N/A,N/A,N/A,N/A,1.58,1
351,University of New Mexico,2.91,Masters,Phoenix,M,1.0,0,1,4,Teaching Assistant,10/00,03/02,Senior SWE,05/02,01/05,Junior SWE,02/05,06/05,1.76,1
352,Ohio State University,2.51,PhD,Chicago,N/A,N/A,0,N/A,0,Research Assistant,08/08,06/09,Teaching Assistant,07/09,06/11,N/A,N/A,N/A,8.76,0
353,University of Central Florida,2.37,Masters,Phoenix,N/A,N/A,0,1,1,Teaching Assistant,06/04,12/04,ML Engineer,03/05,02/07,Research Assistant,03/07,02/09,3.68,0
354,Columbia University,3.47,Bachelors,New York City,F,0.0,1,1,4,Senior Data Scientist,03/08,10/09,Research Assistant,11/09,05/12,Teaching Assistant,06/12,03/13,2.89,1
355,University of New Mexico,3.58,PhD,San Diego,M,0.0,1,1,4,Teaching Assistant,01/04,05/06,Senior SWE,06/06,05/08,N/A,N/A,N/A,3.32,1
356,Duke University,3.13,PhD,Houston,N/A,1.0,1,1,4,Senior SWE,01/06,05/06,Senior Data Scientist,07/06,05/07,Junior SWE,07/07,02/09,6.62,0
357,Iowa State University,3.51,Masters,Houston,M,0.0,0,N/A,4,ML Engineer,10/09,10/10,Senior Data Scientist,12/10,02/12,Senior Data Scientist,03/12,06/14,2.22,1
358,University of Virginia,2.35,Bachelors,San Antonio,F,1.0,1,N/A,4,Junior Data Scientist,09/02,07/04,Junior Data Scientist,09/04,07/06,ML Engineer,07/06,04/07,5.61,0
359,Columbia University,3.71,PhD,San Diego,N/A,N/A,0,1,1,Senior SWE,11/06,05/09,Senior SWE,06/09,10/11,Lawyer,01/12,06/13,9.21,0
360,University of Florida,3.79,Bachelors,Philadelphia,N/A,1.0,0,0,4,Junior SWE,11/00,12/02,ML Engineer,01/03,08/04,Research Assistant,10/04,06/05,8.75,0
361,University of Oklahoma,3.65,PhD,Philadelphia,F,1.0,0,N/A,0,Senior Data Scientist,07/01,08/02,Lawyer,08/02,04/03,Research Assistant,06/03,08/05,2.12,1
362,Rice University,3.03,Masters,Dallas,F,0.0,1,0,0,Research Assistant,12/06,12/07,Senior SWE,01/08,05/10,ML Engineer,05/10,10/12,6.5,0
363,University of Georgia,2.17,Bachelors,San Diego,F,1.0,0,0,1,Lawyer,01/01,11/02,Research Assistant,12/02,06/04,Senior SWE,07/04,04/06,8.02,1
364,Georgia Institute of Technology (Georgia Tech),3.33,Masters,Philadelphia,M,1.0,1,1,3,Junior Data Scientist,07/05,12/07,N/A,N/A,N/A,N/A,N/A,N/A,6.08,0
365,Emory University,2.36,Masters,Phoenix,N/A,1.0,1,N/A,4,Research Assistant,06/00,01/01,Teaching Assistant,03/01,04/02,Senior Data Scientist,06/02,03/05,5.54,0
366,University of Oregon,2.28,Bachelors,Dallas,N/A,0.0,0,0,2,Junior SWE,09/08,11/10,Teaching Assistant,11/10,07/13,Lawyer,08/13,04/16,7.63,0
367,University of Virginia,2.64,PhD,New York City,M,N/A,1,0,2,Senior SWE,03/04,05/06,ML Engineer,05/06,04/08,Lawyer,05/08,05/10,6.93,1
368,University of Delaware,2.49,Bachelors,San Jose,M,N/A,1,0,4,Junior Data Scientist,03/00,08/00,ML Engineer,09/00,07/01,ML Engineer,09/01,08/03,8.9,1
369,Harvard University,2.52,Masters,Philadelphia,N/A,1.0,1,1,3,ML Engineer,10/06,09/08,ML Engineer,11/08,12/10,Junior Data Scientist,12/10,05/11,6.55,0
370,University of Central Florida,2.47,Bachelors,Houston,N/A,1.0,1,1,1,Junior SWE,08/01,08/02,Senior SWE,08/02,11/04,Senior SWE,01/05,06/06,1.97,0
371,University of Massachusetts Amherst,3.5,PhD,San Diego,F,N/A,1,N/A,4,Research Assistant,01/00,08/01,N/A,N/A,N/A,N/A,N/A,N/A,8.46,1
372,University of Oklahoma,3.9,Masters,Philadelphia,N/A,1.0,0,N/A,3,ML Engineer,01/00,03/02,Senior Data Scientist,06/02,06/04,N/A,N/A,N/A,2.28,0
373,University of Kansas,2.6,Masters,Philadelphia,N/A,N/A,1,1,1,Junior Data Scientist,05/09,04/10,N/A,N/A,N/A,N/A,N/A,N/A,9.74,0
374,Michigan State University,3.44,Bachelors,San Antonio,N/A,1.0,1,0,3,Teaching Assistant,06/07,12/09,Lawyer,12/09,07/10,Junior Data Scientist,08/10,02/13,0.82,0
375,Georgetown University,2.02,PhD,New York City,M,1.0,0,0,2,Senior SWE,05/05,11/05,Junior SWE,01/06,07/07,Teaching Assistant,08/07,02/08,7.87,1
376,Princeton University,3.3,Masters,Chicago,N/A,1.0,1,N/A,2,Junior Data Scientist,11/01,03/02,Junior Data Scientist,04/02,06/04,N/A,N/A,N/A,3.33,0
377,Michigan State University,3.38,Masters,Houston,M,1.0,1,1,1,Junior SWE,12/03,05/04,Research Assistant,06/04,09/05,ML Engineer,11/05,05/07,2.31,0
378,Vanderbilt University,2.12,Masters,Houston,M,0.0,0,N/A,4,ML Engineer,09/08,03/10,Teaching Assistant,04/10,11/12,Senior Data Scientist,01/13,02/15,9.86,0
379,Rice University,2.23,Masters,Dallas,N/A,0.0,1,N/A,4,Junior SWE,01/00,08/01,N/A,N/A,N/A,N/A,N/A,N/A,6.17,0
380,Arizona State University,2.61,Bachelors,Phoenix,M,1.0,0,0,2,Senior SWE,04/06,02/08,Senior SWE,05/08,08/10,Senior Data Scientist,08/10,09/11,3.14,0
381,University of Oklahoma,2.81,PhD,Phoenix,F,N/A,1,N/A,3,ML Engineer,03/03,07/03,Teaching Assistant,09/03,08/05,ML Engineer,10/05,03/08,7.04,0
382,Dartmouth College,3.0,Masters,San Antonio,F,1.0,0,0,3,Junior Data Scientist,09/01,07/02,Teaching Assistant,07/02,03/05,ML Engineer,05/05,11/05,6.19,0
383,Dartmouth College,3.79,Bachelors,New York City,N/A,N/A,0,N/A,1,ML Engineer,05/02,06/03,N/A,N/A,N/A,N/A,N/A,N/A,9.62,0
384,University of Southern California (USC),3.4,Masters,Philadelphia,M,0.0,1,N/A,3,Senior Data Scientist,04/05,12/07,Senior SWE,01/08,09/08,N/A,N/A,N/A,2.76,1
385,New York University (NYU),2.62,Masters,Los Angeles,F,1.0,0,0,2,Junior Data Scientist,04/02,12/03,N/A,N/A,N/A,N/A,N/A,N/A,0.32,1
386,Brown University,2.23,Bachelors,Dallas,M,0.0,1,0,3,Teaching Assistant,01/07,01/09,Junior Data Scientist,02/09,01/11,Junior SWE,01/11,06/13,7.82,0
387,University of Pennsylvania,3.83,Masters,Phoenix,M,0.0,0,0,1,Research Assistant,05/09,09/09,N/A,N/A,N/A,N/A,N/A,N/A,2.51,1
388,Boston University,2.59,Bachelors,San Diego,N/A,N/A,1,0,3,Senior Data Scientist,07/05,03/08,Senior SWE,05/08,12/08,Junior SWE,01/09,09/11,3.47,0
389,University of Cincinnati,3.22,PhD,Los Angeles,F,N/A,0,0,0,Senior SWE,07/01,12/02,N/A,N/A,N/A,N/A,N/A,N/A,6.01,1
390,Pennsylvania State University,2.43,Bachelors,San Diego,M,N/A,1,0,4,Senior SWE,02/04,10/05,Senior SWE,12/05,07/08,Lawyer,07/08,09/09,3.97,1
391,Rutgers University,2.26,PhD,San Jose,F,N/A,0,1,2,Research Assistant,01/08,08/08,Teaching Assistant,10/08,07/10,Lawyer,08/10,12/10,3.96,1
392,University of Iowa,2.3,Bachelors,San Antonio,F,1.0,0,1,0,Junior Data Scientist,08/01,04/02,Junior Data Scientist,06/02,09/04,Senior SWE,09/04,03/06,7.3,1
393,Dartmouth College,3.49,Bachelors,Los Angeles,F,0.0,1,1,1,Junior SWE,09/07,07/08,Lawyer,07/08,03/10,Senior SWE,03/10,02/11,7.92,0
394,University of Massachusetts Amherst,3.21,Bachelors,Phoenix,N/A,N/A,0,0,4,Junior SWE,08/07,07/09,Teaching Assistant,08/09,12/11,Senior Data Scientist,01/12,07/13,2.27,0
395,Harvard University,2.83,Bachelors,Phoenix,M,N/A,0,0,1,Teaching Assistant,07/00,08/02,Junior SWE,10/02,06/03,Research Assistant,08/03,10/05,2.5,1
396,Brown University,3.09,Bachelors,Los Angeles,F,N/A,0,1,3,Junior SWE,07/04,07/06,ML Engineer,08/06,09/07,N/A,N/A,N/A,4.49,0
397,Boston University,2.94,Bachelors,Philadelphia,N/A,0.0,0,N/A,4,Senior Data Scientist,05/05,03/06,N/A,N/A,N/A,N/A,N/A,N/A,0.32,0
398,University of Oregon,3.07,Masters,San Diego,N/A,1.0,1,0,1,Junior Data Scientist,04/04,10/06,Junior SWE,12/06,12/07,Teaching Assistant,02/08,07/09,0.71,0
399,University of Tennessee Knoxville,3.32,Bachelors,Chicago,N/A,N/A,0,N/A,2,Junior SWE,03/08,01/09,Teaching Assistant,03/09,11/11,Junior Data Scientist,12/11,01/13,4.91,0
400,University of Pittsburgh,2.43,PhD,Phoenix,N/A,1.0,1,0,1,ML Engineer,07/07,08/09,Junior Data Scientist,09/09,11/11,Senior Data Scientist,12/11,12/13,8.93,0
401,University of Florida,2.49,Bachelors,Chicago,F,0.0,1,1,2,Teaching Assistant,04/09,01/11,Junior SWE,03/11,07/12,ML Engineer,07/12,09/13,9.42,0
402,University of Washington,3.5,Bachelors,San Antonio,N/A,0.0,1,1,0,Lawyer,07/08,10/08,Lawyer,12/08,10/09,Research Assistant,12/09,04/12,6.68,0
403,University of Pittsburgh,3.74,Masters,San Jose,N/A,0.0,1,1,0,ML Engineer,09/01,01/04,Senior Data Scientist,01/04,11/05,ML Engineer,01/06,05/07,1.41,0
404,Rutgers University,2.16,Bachelors,San Diego,M,0.0,0,N/A,4,Junior SWE,07/05,02/07,N/A,N/A,N/A,N/A,N/A,N/A,7.0,0
405,Louisiana State University (LSU),2.89,PhD,San Diego,N/A,1.0,1,0,4,Senior SWE,11/08,07/11,N/A,N/A,N/A,N/A,N/A,N/A,5.8,0
406,Duke University,3.4,Bachelors,Los Angeles,F,1.0,1,1,4,Senior SWE,10/08,04/11,Lawyer,06/11,03/12,Junior Data Scientist,06/12,07/14,7.27,0
407,Yale University,2.15,Bachelors,Los Angeles,N/A,0.0,0,0,2,ML Engineer,01/05,03/07,Junior SWE,04/07,06/08,Research Assistant,07/08,05/09,9.82,0
408,Georgia Institute of Technology (Georgia Tech),3.12,PhD,Phoenix,F,1.0,1,0,2,Research Assistant,11/08,08/10,Research Assistant,10/10,02/13,Senior Data Scientist,04/13,07/14,0.55,1
409,University of Alabama,2.12,PhD,Houston,N/A,1.0,1,N/A,0,Lawyer,09/06,09/07,Senior Data Scientist,12/07,11/08,Junior SWE,11/08,03/11,4.33,0
410,Vanderbilt University,3.09,PhD,Philadelphia,N/A,1.0,0,1,4,Teaching Assistant,10/08,12/10,Teaching Assistant,02/11,09/13,Junior Data Scientist,09/13,08/15,5.25,0
411,Texas A&M University,3.01,PhD,Houston,N/A,0.0,1,1,2,Research Assistant,12/01,07/03,ML Engineer,10/03,04/04,Senior SWE,05/04,01/07,7.44,0
412,University of Missouri,3.14,Bachelors,San Diego,M,N/A,0,1,0,Senior Data Scientist,02/08,01/09,Research Assistant,02/09,08/09,Senior Data Scientist,09/09,03/11,9.23,0
413,Pennsylvania State University,2.29,Bachelors,Philadelphia,F,0.0,0,1,1,Junior SWE,01/04,09/05,Senior SWE,11/05,01/08,N/A,N/A,N/A,4.97,1
414,University of Texas at Austin,2.65,Masters,San Jose,M,N/A,0,0,4,ML Engineer,06/07,07/09,Lawyer,09/09,03/11,N/A,N/A,N/A,0.55,0
415,Carnegie Mellon University,3.04,PhD,Houston,N/A,N/A,1,N/A,0,Research Assistant,01/05,05/07,Senior SWE,05/07,09/09,N/A,N/A,N/A,9.06,0
416,Stanford University,2.23,Bachelors,Houston,F,N/A,1,N/A,3,Junior SWE,04/06,01/08,Teaching Assistant,02/08,08/10,N/A,N/A,N/A,0.41,1
417,University of North Carolina at Chapel Hill,2.41,Bachelors,San Diego,N/A,0.0,1,0,4,Senior Data Scientist,10/08,02/10,Senior Data Scientist,02/10,04/11,Senior Data Scientist,06/11,08/13,1.77,0
418,University of Pittsburgh,3.16,Bachelors,San Jose,M,0.0,0,0,1,ML Engineer,08/09,06/11,Lawyer,06/11,03/12,Senior Data Scientist,06/12,06/13,8.73,0
419,Arizona State University,2.18,PhD,Philadelphia,N/A,0.0,1,0,3,Senior Data Scientist,02/09,01/11,N/A,N/A,N/A,N/A,N/A,N/A,3.93,0
420,Princeton University,3.02,Bachelors,San Antonio,N/A,0.0,0,0,2,Teaching Assistant,06/07,08/08,Senior SWE,08/08,05/09,Research Assistant,06/09,07/11,7.85,0
421,University of Southern California (USC),3.61,Masters,Los Angeles,F,0.0,1,1,0,Senior SWE,08/07,04/08,Senior Data Scientist,06/08,02/11,Research Assistant,04/11,12/13,8.35,1
422,University of Alabama,2.9,Bachelors,Dallas,N/A,1.0,1,1,2,Senior SWE,09/01,06/03,Senior Data Scientist,08/03,08/05,N/A,N/A,N/A,5.36,0
423,Carnegie Mellon University,3.02,Bachelors,Los Angeles,F,N/A,1,0,0,Junior Data Scientist,07/04,02/06,Junior SWE,04/06,11/06,ML Engineer,12/06,08/09,5.63,0
424,University of Connecticut,2.91,Bachelors,San Diego,N/A,0.0,1,N/A,4,ML Engineer,06/02,09/02,Senior Data Scientist,10/02,07/03,Lawyer,09/03,11/05,4.65,0
425,University of Colorado Boulder,2.11,Bachelors,Phoenix,M,0.0,0,N/A,3,Junior SWE,07/05,11/05,Teaching Assistant,01/06,04/08,ML Engineer,07/08,03/10,2.6,1
426,University of North Carolina at Chapel Hill,2.92,PhD,Houston,M,1.0,1,1,0,Senior Data Scientist,08/09,12/09,Lawyer,01/10,11/11,Junior Data Scientist,11/11,01/13,3.76,1
427,University of Tennessee Knoxville,3.61,Bachelors,San Diego,N/A,0.0,0,N/A,1,Senior Data Scientist,01/01,02/02,Research Assistant,03/02,09/02,Senior SWE,11/02,01/05,8.34,0
428,Harvard University,3.44,PhD,Phoenix,M,1.0,1,0,1,Senior Data Scientist,09/09,01/11,Junior SWE,03/11,12/12,Junior SWE,12/12,05/13,7.88,1
429,University of Missouri,2.79,Bachelors,San Antonio,M,N/A,1,N/A,2,Teaching Assistant,11/01,09/02,ML Engineer,11/02,03/04,Junior Data Scientist,03/04,06/05,8.35,0
430,University of Kentucky,3.63,PhD,Los Angeles,N/A,N/A,0,1,4,Research Assistant,07/06,09/08,Senior SWE,09/08,04/11,Senior Data Scientist,05/11,10/12,0.19,0
431,Columbia University,3.49,Bachelors,Los Angeles,N/A,0.0,1,1,1,Junior SWE,11/07,01/09,Research Assistant,03/09,07/10,Junior Data Scientist,08/10,12/10,3.35,0
432,Boston University,3.15,PhD,Chicago,F,0.0,1,1,4,Senior Data Scientist,12/01,06/04,Research Assistant,07/04,07/05,Research Assistant,09/05,05/07,8.11,0
433,Duke University,2.09,Masters,San Antonio,N/A,N/A,1,N/A,4,Research Assistant,03/02,09/02,Senior Data Scientist,10/02,04/03,Junior SWE,05/03,04/04,2.59,0
434,Iowa State University,2.68,Bachelors,Chicago,N/A,N/A,0,0,1,Lawyer,01/06,02/07,Research Assistant,05/07,07/09,Junior Data Scientist,08/09,03/12,0.62,0
435,Georgia Institute of Technology (Georgia Tech),2.12,Masters,Phoenix,F,0.0,1,N/A,1,Lawyer,12/00,05/02,Research Assistant,06/02,05/03,Lawyer,05/03,10/05,7.6,0
436,California Institute of Technology (Caltech),3.98,Masters,Dallas,M,N/A,0,0,3,Junior SWE,05/05,10/05,Junior SWE,10/05,04/07,Junior Data Scientist,05/07,01/10,5.45,1
437,University of North Carolina at Chapel Hill,3.86,Masters,Philadelphia,N/A,N/A,0,1,1,Senior Data Scientist,01/05,10/05,Teaching Assistant,01/06,06/06,Junior Data Scientist,08/06,11/07,3.76,0
438,Arizona State University,2.13,PhD,New York City,N/A,1.0,0,1,0,Lawyer,09/09,08/11,Junior Data Scientist,09/11,11/12,Junior Data Scientist,01/13,10/14,0.76,0
439,University of Miami,3.86,Bachelors,Dallas,N/A,1.0,0,1,1,Junior SWE,06/03,11/03,ML Engineer,12/03,07/04,Senior SWE,09/04,02/07,9.89,0
440,Louisiana State University (LSU),2.06,PhD,Chicago,F,N/A,0,0,0,Teaching Assistant,10/01,07/03,ML Engineer,09/03,12/03,Senior SWE,02/04,09/04,2.82,0
441,Michigan State University,2.81,Bachelors,Philadelphia,F,0.0,1,0,0,Lawyer,04/07,12/08,Senior Data Scientist,02/09,07/09,ML Engineer,09/09,11/11,6.24,0
442,University of Hawaii at Manoa,3.53,Masters,Phoenix,N/A,N/A,0,1,0,Lawyer,03/07,10/07,ML Engineer,01/08,11/09,Lawyer,02/10,11/10,8.44,0
443,University of Utah,3.53,PhD,Phoenix,N/A,N/A,0,0,3,Teaching Assistant,07/00,05/01,Senior Data Scientist,07/01,05/02,Senior Data Scientist,07/02,12/03,0.48,0
444,University of Cincinnati,3.95,Bachelors,New York City,N/A,0.0,1,N/A,2,Research Assistant,10/04,01/05,Research Assistant,04/05,02/06,Research Assistant,02/06,06/06,9.44,0
445,Virginia Tech,3.29,Masters,San Antonio,N/A,1.0,1,N/A,4,Senior Data Scientist,01/07,01/08,Junior Data Scientist,02/08,01/09,Teaching Assistant,02/09,08/09,7.93,0
446,University of Iowa,2.84,PhD,Chicago,N/A,0.0,0,N/A,0,Research Assistant,08/07,01/09,ML Engineer,02/09,07/09,Junior SWE,08/09,08/11,0.32,0
447,University of Oklahoma,3.98,PhD,Philadelphia,N/A,N/A,0,1,1,Lawyer,05/09,08/10,Junior SWE,10/10,03/11,Senior Data Scientist,05/11,12/12,3.48,0
448,University of Colorado Boulder,2.76,Masters,San Antonio,F,1.0,0,N/A,2,Junior Data Scientist,03/00,12/01,N/A,N/A,N/A,N/A,N/A,N/A,9.36,1
449,University of Houston,3.73,PhD,Philadelphia,F,0.0,0,0,2,Teaching Assistant,07/09,05/11,Research Assistant,05/11,01/12,Teaching Assistant,02/12,06/12,8.82,0
450,University of Massachusetts Amherst,3.81,Bachelors,Dallas,F,N/A,0,N/A,0,Senior SWE,10/04,02/07,ML Engineer,03/07,12/07,Lawyer,12/07,06/09,5.26,0
451,Rutgers University,2.75,PhD,New York City,N/A,N/A,1,N/A,4,ML Engineer,11/03,11/04,Teaching Assistant,01/05,04/06,Lawyer,04/06,10/08,9.59,0
452,University of Kansas,3.36,Bachelors,Los Angeles,N/A,1.0,0,1,0,Research Assistant,06/06,06/07,Lawyer,07/07,03/08,N/A,N/A,N/A,1.34,0
453,University of Pittsburgh,3.32,PhD,San Antonio,F,N/A,0,0,3,Research Assistant,03/04,05/06,Junior SWE,05/06,11/07,Junior SWE,12/07,05/08,1.27,1
454,University of Virginia,3.07,Bachelors,New York City,M,0.0,1,1,2,Senior SWE,03/06,09/07,N/A,N/A,N/A,N/A,N/A,N/A,6.49,0
455,University of North Carolina at Chapel Hill,3.3,Masters,Dallas,M,N/A,1,1,2,Senior SWE,09/03,03/06,ML Engineer,06/06,08/07,Junior SWE,09/07,07/08,1.72,1
456,University of Alabama,2.69,Masters,San Antonio,F,0.0,0,N/A,3,Senior SWE,10/05,11/06,Junior SWE,01/07,01/08,ML Engineer,02/08,11/08,2.58,0
457,University of Kentucky,2.35,PhD,Dallas,F,0.0,0,N/A,0,Junior SWE,01/00,06/02,Junior Data Scientist,09/02,03/05,N/A,N/A,N/A,4.16,0
458,Georgia Institute of Technology (Georgia Tech),3.07,PhD,Chicago,N/A,N/A,1,1,4,Senior Data Scientist,12/08,03/09,Senior Data Scientist,04/09,09/09,Junior SWE,11/09,03/10,0.89,0
459,University of Iowa,3.05,Bachelors,San Jose,M,0.0,0,N/A,1,Junior SWE,05/05,04/06,Lawyer,06/06,02/08,N/A,N/A,N/A,3.68,1
460,Cornell University,3.45,Masters,New York City,F,1.0,0,0,0,Junior SWE,12/00,09/01,N/A,N/A,N/A,N/A,N/A,N/A,3.47,1
461,Yale University,2.44,Masters,Phoenix,F,0.0,1,0,0,Junior Data Scientist,06/06,08/08,Senior SWE,09/08,08/10,Research Assistant,08/10,03/12,4.75,0
462,Brown University,2.0,Bachelors,Los Angeles,M,N/A,1,1,1,Senior SWE,08/02,02/05,Lawyer,02/05,08/06,Research Assistant,08/06,02/08,7.02,1
463,Cornell University,2.04,PhD,San Antonio,M,1.0,1,0,1,Junior SWE,08/07,04/08,Senior Data Scientist,07/08,01/09,N/A,N/A,N/A,3.44,0
464,Rice University,2.59,PhD,San Antonio,M,1.0,1,0,2,Teaching Assistant,02/06,02/07,Junior SWE,05/07,12/08,Teaching Assistant,01/09,01/11,3.94,0
465,University of Massachusetts Amherst,3.34,PhD,San Antonio,F,N/A,0,N/A,4,Lawyer,08/04,11/04,Teaching Assistant,12/04,02/07,Junior SWE,04/07,03/09,2.96,0
466,Johns Hopkins University,3.08,Bachelors,Philadelphia,N/A,0.0,1,0,3,Senior Data Scientist,06/04,10/04,Senior SWE,11/04,01/06,Teaching Assistant,01/06,09/07,9.12,0
467,University of Texas at Austin,3.06,PhD,San Diego,N/A,0.0,1,N/A,0,Lawyer,01/04,06/04,Senior Data Scientist,08/04,09/06,Senior SWE,11/06,08/08,3.34,0
468,University of Connecticut,3.64,Bachelors,Los Angeles,N/A,1.0,1,N/A,1,Junior Data Scientist,08/04,08/06,Research Assistant,10/06,12/07,Junior SWE,01/08,11/09,5.55,0
469,University of Delaware,2.49,Masters,Phoenix,N/A,0.0,1,1,3,Junior SWE,01/05,01/06,Senior SWE,04/06,09/07,Teaching Assistant,11/07,09/08,8.84,0
470,Princeton University,2.69,Bachelors,Philadelphia,N/A,N/A,1,0,2,Lawyer,01/01,02/03,ML Engineer,04/03,02/05,Junior Data Scientist,04/05,05/06,9.26,0
471,University of Southern California (USC),2.55,Bachelors,San Jose,N/A,N/A,1,0,0,ML Engineer,09/09,10/10,Senior Data Scientist,11/10,11/12,Research Assistant,12/12,01/15,9.58,0
472,University of Massachusetts Amherst,3.87,Bachelors,New York City,M,1.0,0,1,3,Senior Data Scientist,03/04,10/06,ML Engineer,11/06,04/07,ML Engineer,06/07,10/09,7.9,1
473,University of Southern California (USC),3.45,PhD,Chicago,F,0.0,0,1,4,Senior Data Scientist,07/08,10/09,Junior Data Scientist,01/10,04/11,N/A,N/A,N/A,8.07,1
474,Carnegie Mellon University,2.22,PhD,Houston,N/A,N/A,1,1,4,ML Engineer,05/06,12/06,Senior SWE,12/06,08/09,Teaching Assistant,11/09,06/10,0.44,0
475,Boston University,3.61,PhD,Houston,M,0.0,1,1,3,Senior SWE,06/05,12/06,Senior SWE,01/07,07/08,Junior SWE,09/08,01/11,6.27,1
476,Rutgers University,2.83,Masters,New York City,N/A,1.0,1,1,1,Junior Data Scientist,12/02,12/03,Research Assistant,02/04,06/04,Senior SWE,07/04,08/05,7.67,0
477,University of Utah,3.53,Masters,Phoenix,N/A,N/A,1,N/A,3,Junior SWE,07/06,07/07,ML Engineer,10/07,05/09,Junior SWE,07/09,02/11,7.21,0
478,University of Connecticut,3.76,PhD,Philadelphia,N/A,N/A,0,0,2,Senior SWE,09/01,05/04,ML Engineer,06/04,10/06,Junior SWE,01/07,01/09,4.89,0
479,Indiana University Bloomington,2.03,PhD,Chicago,M,0.0,0,1,3,Senior SWE,09/06,04/09,Junior Data Scientist,05/09,08/10,Senior SWE,10/10,10/12,8.49,1
