Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
376,Princeton University,3.3,Masters,Chicago,N/A,1.0,1,N/A,2,Junior Data Scientist,11/01,03/02,Junior Data Scientist,04/02,06/04,N/A,N/A,N/A
377,Michigan State University,3.38,Masters,Houston,M,1.0,1,1,1,Junior SWE,12/03,05/04,Research Assistant,06/04,09/05,ML Engineer,11/05,05/07
378,Vanderbilt University,2.12,Masters,Houston,M,0.0,0,N/A,4,ML Engineer,09/08,03/10,Teaching Assistant,04/10,11/12,Senior Data Scientist,01/13,02/15
379,Rice University,2.23,Masters,Dallas,N/A,0.0,1,N/A,4,Junior SWE,01/00,08/01,N/A,N/A,N/A,N/A,N/A,N/A
380,Arizona State University,2.61,Bachelors,Phoenix,M,1.0,0,0,2,Senior SWE,04/06,02/08,Senior SWE,05/08,08/10,Senior Data Scientist,08/10,09/11
381,University of Oklahoma,2.81,PhD,Phoenix,F,N/A,1,N/A,3,ML Engineer,03/03,07/03,Teaching Assistant,09/03,08/05,ML Engineer,10/05,03/08
382,Dartmouth College,3.0,Masters,San Antonio,F,1.0,0,0,3,Junior Data Scientist,09/01,07/02,Teaching Assistant,07/02,03/05,ML Engineer,05/05,11/05
383,Dartmouth College,3.79,Bachelors,New York City,N/A,N/A,0,N/A,1,ML Engineer,05/02,06/03,N/A,N/A,N/A,N/A,N/A,N/A
384,University of Southern California (USC),3.4,Masters,Philadelphia,M,0.0,1,N/A,3,Senior Data Scientist,04/05,12/07,Senior SWE,01/08,09/08,N/A,N/A,N/A
385,New York University (NYU),2.62,Masters,Los Angeles,F,1.0,0,0,2,Junior Data Scientist,04/02,12/03,N/A,N/A,N/A,N/A,N/A,N/A
386,Brown University,2.23,Bachelors,Dallas,M,0.0,1,0,3,Teaching Assistant,01/07,01/09,Junior Data Scientist,02/09,01/11,Junior SWE,01/11,06/13
387,University of Pennsylvania,3.83,Masters,Phoenix,M,0.0,0,0,1,Research Assistant,05/09,09/09,N/A,N/A,N/A,N/A,N/A,N/A
388,Boston University,2.59,Bachelors,San Diego,N/A,N/A,1,0,3,Senior Data Scientist,07/05,03/08,Senior SWE,05/08,12/08,Junior SWE,01/09,09/11
389,University of Cincinnati,3.22,PhD,Los Angeles,F,N/A,0,0,0,Senior SWE,07/01,12/02,N/A,N/A,N/A,N/A,N/A,N/A
390,Pennsylvania State University,2.43,Bachelors,San Diego,M,N/A,1,0,4,Senior SWE,02/04,10/05,Senior SWE,12/05,07/08,Lawyer,07/08,09/09
391,Rutgers University,2.26,PhD,San Jose,F,N/A,0,1,2,Research Assistant,01/08,08/08,Teaching Assistant,10/08,07/10,Lawyer,08/10,12/10
392,University of Iowa,2.3,Bachelors,San Antonio,F,1.0,0,1,0,Junior Data Scientist,08/01,04/02,Junior Data Scientist,06/02,09/04,Senior SWE,09/04,03/06
393,Dartmouth College,3.49,Bachelors,Los Angeles,F,0.0,1,1,1,Junior SWE,09/07,07/08,Lawyer,07/08,03/10,Senior SWE,03/10,02/11
394,University of Massachusetts Amherst,3.21,Bachelors,Phoenix,N/A,N/A,0,0,4,Junior SWE,08/07,07/09,Teaching Assistant,08/09,12/11,Senior Data Scientist,01/12,07/13
395,Harvard University,2.83,Bachelors,Phoenix,M,N/A,0,0,1,Teaching Assistant,07/00,08/02,Junior SWE,10/02,06/03,Research Assistant,08/03,10/05
396,Brown University,3.09,Bachelors,Los Angeles,F,N/A,0,1,3,Junior SWE,07/04,07/06,ML Engineer,08/06,09/07,N/A,N/A,N/A
397,Boston University,2.94,Bachelors,Philadelphia,N/A,0.0,0,N/A,4,Senior Data Scientist,05/05,03/06,N/A,N/A,N/A,N/A,N/A,N/A
398,University of Oregon,3.07,Masters,San Diego,N/A,1.0,1,0,1,Junior Data Scientist,04/04,10/06,Junior SWE,12/06,12/07,Teaching Assistant,02/08,07/09
399,University of Tennessee Knoxville,3.32,Bachelors,Chicago,N/A,N/A,0,N/A,2,Junior SWE,03/08,01/09,Teaching Assistant,03/09,11/11,Junior Data Scientist,12/11,01/13
400,University of Pittsburgh,2.43,PhD,Phoenix,N/A,1.0,1,0,1,ML Engineer,07/07,08/09,Junior Data Scientist,09/09,11/11,Senior Data Scientist,12/11,12/13
401,University of Florida,2.49,Bachelors,Chicago,F,0.0,1,1,2,Teaching Assistant,04/09,01/11,Junior SWE,03/11,07/12,ML Engineer,07/12,09/13
402,University of Washington,3.5,Bachelors,San Antonio,N/A,0.0,1,1,0,Lawyer,07/08,10/08,Lawyer,12/08,10/09,Research Assistant,12/09,04/12
403,University of Pittsburgh,3.74,Masters,San Jose,N/A,0.0,1,1,0,ML Engineer,09/01,01/04,Senior Data Scientist,01/04,11/05,ML Engineer,01/06,05/07
404,Rutgers University,2.16,Bachelors,San Diego,M,0.0,0,N/A,4,Junior SWE,07/05,02/07,N/A,N/A,N/A,N/A,N/A,N/A
405,Louisiana State University (LSU),2.89,PhD,San Diego,N/A,1.0,1,0,4,Senior SWE,11/08,07/11,N/A,N/A,N/A,N/A,N/A,N/A
406,Duke University,3.4,Bachelors,Los Angeles,F,1.0,1,1,4,Senior SWE,10/08,04/11,Lawyer,06/11,03/12,Junior Data Scientist,06/12,07/14
407,Yale University,2.15,Bachelors,Los Angeles,N/A,0.0,0,0,2,ML Engineer,01/05,03/07,Junior SWE,04/07,06/08,Research Assistant,07/08,05/09
408,Georgia Institute of Technology (Georgia Tech),3.12,PhD,Phoenix,F,1.0,1,0,2,Research Assistant,11/08,08/10,Research Assistant,10/10,02/13,Senior Data Scientist,04/13,07/14
409,University of Alabama,2.12,PhD,Houston,N/A,1.0,1,N/A,0,Lawyer,09/06,09/07,Senior Data Scientist,12/07,11/08,Junior SWE,11/08,03/11
410,Vanderbilt University,3.09,PhD,Philadelphia,N/A,1.0,0,1,4,Teaching Assistant,10/08,12/10,Teaching Assistant,02/11,09/13,Junior Data Scientist,09/13,08/15
411,Texas A&M University,3.01,PhD,Houston,N/A,0.0,1,1,2,Research Assistant,12/01,07/03,ML Engineer,10/03,04/04,Senior SWE,05/04,01/07
412,University of Missouri,3.14,Bachelors,San Diego,M,N/A,0,1,0,Senior Data Scientist,02/08,01/09,Research Assistant,02/09,08/09,Senior Data Scientist,09/09,03/11
413,Pennsylvania State University,2.29,Bachelors,Philadelphia,F,0.0,0,1,1,Junior SWE,01/04,09/05,Senior SWE,11/05,01/08,N/A,N/A,N/A
414,University of Texas at Austin,2.65,Masters,San Jose,M,N/A,0,0,4,ML Engineer,06/07,07/09,Lawyer,09/09,03/11,N/A,N/A,N/A
415,Carnegie Mellon University,3.04,PhD,Houston,N/A,N/A,1,N/A,0,Research Assistant,01/05,05/07,Senior SWE,05/07,09/09,N/A,N/A,N/A
416,Stanford University,2.23,Bachelors,Houston,F,N/A,1,N/A,3,Junior SWE,04/06,01/08,Teaching Assistant,02/08,08/10,N/A,N/A,N/A
417,University of North Carolina at Chapel Hill,2.41,Bachelors,San Diego,N/A,0.0,1,0,4,Senior Data Scientist,10/08,02/10,Senior Data Scientist,02/10,04/11,Senior Data Scientist,06/11,08/13
418,University of Pittsburgh,3.16,Bachelors,San Jose,M,0.0,0,0,1,ML Engineer,08/09,06/11,Lawyer,06/11,03/12,Senior Data Scientist,06/12,06/13
419,Arizona State University,2.18,PhD,Philadelphia,N/A,0.0,1,0,3,Senior Data Scientist,02/09,01/11,N/A,N/A,N/A,N/A,N/A,N/A
420,Princeton University,3.02,Bachelors,San Antonio,N/A,0.0,0,0,2,Teaching Assistant,06/07,08/08,Senior SWE,08/08,05/09,Research Assistant,06/09,07/11
421,University of Southern California (USC),3.61,Masters,Los Angeles,F,0.0,1,1,0,Senior SWE,08/07,04/08,Senior Data Scientist,06/08,02/11,Research Assistant,04/11,12/13
422,University of Alabama,2.9,Bachelors,Dallas,N/A,1.0,1,1,2,Senior SWE,09/01,06/03,Senior Data Scientist,08/03,08/05,N/A,N/A,N/A
423,Carnegie Mellon University,3.02,Bachelors,Los Angeles,F,N/A,1,0,0,Junior Data Scientist,07/04,02/06,Junior SWE,04/06,11/06,ML Engineer,12/06,08/09
424,University of Connecticut,2.91,Bachelors,San Diego,N/A,0.0,1,N/A,4,ML Engineer,06/02,09/02,Senior Data Scientist,10/02,07/03,Lawyer,09/03,11/05
425,University of Colorado Boulder,2.11,Bachelors,Phoenix,M,0.0,0,N/A,3,Junior SWE,07/05,11/05,Teaching Assistant,01/06,04/08,ML Engineer,07/08,03/10
426,University of North Carolina at Chapel Hill,2.92,PhD,Houston,M,1.0,1,1,0,Senior Data Scientist,08/09,12/09,Lawyer,01/10,11/11,Junior Data Scientist,11/11,01/13
427,University of Tennessee Knoxville,3.61,Bachelors,San Diego,N/A,0.0,0,N/A,1,Senior Data Scientist,01/01,02/02,Research Assistant,03/02,09/02,Senior SWE,11/02,01/05
428,Harvard University,3.44,PhD,Phoenix,M,1.0,1,0,1,Senior Data Scientist,09/09,01/11,Junior SWE,03/11,12/12,Junior SWE,12/12,05/13
429,University of Missouri,2.79,Bachelors,San Antonio,M,N/A,1,N/A,2,Teaching Assistant,11/01,09/02,ML Engineer,11/02,03/04,Junior Data Scientist,03/04,06/05
430,University of Kentucky,3.63,PhD,Los Angeles,N/A,N/A,0,1,4,Research Assistant,07/06,09/08,Senior SWE,09/08,04/11,Senior Data Scientist,05/11,10/12
431,Columbia University,3.49,Bachelors,Los Angeles,N/A,0.0,1,1,1,Junior SWE,11/07,01/09,Research Assistant,03/09,07/10,Junior Data Scientist,08/10,12/10
432,Boston University,3.15,PhD,Chicago,F,0.0,1,1,4,Senior Data Scientist,12/01,06/04,Research Assistant,07/04,07/05,Research Assistant,09/05,05/07
433,Duke University,2.09,Masters,San Antonio,N/A,N/A,1,N/A,4,Research Assistant,03/02,09/02,Senior Data Scientist,10/02,04/03,Junior SWE,05/03,04/04
434,Iowa State University,2.68,Bachelors,Chicago,N/A,N/A,0,0,1,Lawyer,01/06,02/07,Research Assistant,05/07,07/09,Junior Data Scientist,08/09,03/12
435,Georgia Institute of Technology (Georgia Tech),2.12,Masters,Phoenix,F,0.0,1,N/A,1,Lawyer,12/00,05/02,Research Assistant,06/02,05/03,Lawyer,05/03,10/05
436,California Institute of Technology (Caltech),3.98,Masters,Dallas,M,N/A,0,0,3,Junior SWE,05/05,10/05,Junior SWE,10/05,04/07,Junior Data Scientist,05/07,01/10
437,University of North Carolina at Chapel Hill,3.86,Masters,Philadelphia,N/A,N/A,0,1,1,Senior Data Scientist,01/05,10/05,Teaching Assistant,01/06,06/06,Junior Data Scientist,08/06,11/07
438,Arizona State University,2.13,PhD,New York City,N/A,1.0,0,1,0,Lawyer,09/09,08/11,Junior Data Scientist,09/11,11/12,Junior Data Scientist,01/13,10/14
439,University of Miami,3.86,Bachelors,Dallas,N/A,1.0,0,1,1,Junior SWE,06/03,11/03,ML Engineer,12/03,07/04,Senior SWE,09/04,02/07
440,Louisiana State University (LSU),2.06,PhD,Chicago,F,N/A,0,0,0,Teaching Assistant,10/01,07/03,ML Engineer,09/03,12/03,Senior SWE,02/04,09/04
441,Michigan State University,2.81,Bachelors,Philadelphia,F,0.0,1,0,0,Lawyer,04/07,12/08,Senior Data Scientist,02/09,07/09,ML Engineer,09/09,11/11
442,University of Hawaii at Manoa,3.53,Masters,Phoenix,N/A,N/A,0,1,0,Lawyer,03/07,10/07,ML Engineer,01/08,11/09,Lawyer,02/10,11/10
443,University of Utah,3.53,PhD,Phoenix,N/A,N/A,0,0,3,Teaching Assistant,07/00,05/01,Senior Data Scientist,07/01,05/02,Senior Data Scientist,07/02,12/03
444,University of Cincinnati,3.95,Bachelors,New York City,N/A,0.0,1,N/A,2,Research Assistant,10/04,01/05,Research Assistant,04/05,02/06,Research Assistant,02/06,06/06
445,Virginia Tech,3.29,Masters,San Antonio,N/A,1.0,1,N/A,4,Senior Data Scientist,01/07,01/08,Junior Data Scientist,02/08,01/09,Teaching Assistant,02/09,08/09
446,University of Iowa,2.84,PhD,Chicago,N/A,0.0,0,N/A,0,Research Assistant,08/07,01/09,ML Engineer,02/09,07/09,Junior SWE,08/09,08/11
447,University of Oklahoma,3.98,PhD,Philadelphia,N/A,N/A,0,1,1,Lawyer,05/09,08/10,Junior SWE,10/10,03/11,Senior Data Scientist,05/11,12/12
448,University of Colorado Boulder,2.76,Masters,San Antonio,F,1.0,0,N/A,2,Junior Data Scientist,03/00,12/01,N/A,N/A,N/A,N/A,N/A,N/A
449,University of Houston,3.73,PhD,Philadelphia,F,0.0,0,0,2,Teaching Assistant,07/09,05/11,Research Assistant,05/11,01/12,Teaching Assistant,02/12,06/12
450,University of Massachusetts Amherst,3.81,Bachelors,Dallas,F,N/A,0,N/A,0,Senior SWE,10/04,02/07,ML Engineer,03/07,12/07,Lawyer,12/07,06/09
451,Rutgers University,2.75,PhD,New York City,N/A,N/A,1,N/A,4,ML Engineer,11/03,11/04,Teaching Assistant,01/05,04/06,Lawyer,04/06,10/08
452,University of Kansas,3.36,Bachelors,Los Angeles,N/A,1.0,0,1,0,Research Assistant,06/06,06/07,Lawyer,07/07,03/08,N/A,N/A,N/A
453,University of Pittsburgh,3.32,PhD,San Antonio,F,N/A,0,0,3,Research Assistant,03/04,05/06,Junior SWE,05/06,11/07,Junior SWE,12/07,05/08
454,University of Virginia,3.07,Bachelors,New York City,M,0.0,1,1,2,Senior SWE,03/06,09/07,N/A,N/A,N/A,N/A,N/A,N/A
455,University of North Carolina at Chapel Hill,3.3,Masters,Dallas,M,N/A,1,1,2,Senior SWE,09/03,03/06,ML Engineer,06/06,08/07,Junior SWE,09/07,07/08
456,University of Alabama,2.69,Masters,San Antonio,F,0.0,0,N/A,3,Senior SWE,10/05,11/06,Junior SWE,01/07,01/08,ML Engineer,02/08,11/08
457,University of Kentucky,2.35,PhD,Dallas,F,0.0,0,N/A,0,Junior SWE,01/00,06/02,Junior Data Scientist,09/02,03/05,N/A,N/A,N/A
458,Georgia Institute of Technology (Georgia Tech),3.07,PhD,Chicago,N/A,N/A,1,1,4,Senior Data Scientist,12/08,03/09,Senior Data Scientist,04/09,09/09,Junior SWE,11/09,03/10
459,University of Iowa,3.05,Bachelors,San Jose,M,0.0,0,N/A,1,Junior SWE,05/05,04/06,Lawyer,06/06,02/08,N/A,N/A,N/A
460,Cornell University,3.45,Masters,New York City,F,1.0,0,0,0,Junior SWE,12/00,09/01,N/A,N/A,N/A,N/A,N/A,N/A
461,Yale University,2.44,Masters,Phoenix,F,0.0,1,0,0,Junior Data Scientist,06/06,08/08,Senior SWE,09/08,08/10,Research Assistant,08/10,03/12
462,Brown University,2.0,Bachelors,Los Angeles,M,N/A,1,1,1,Senior SWE,08/02,02/05,Lawyer,02/05,08/06,Research Assistant,08/06,02/08
463,Cornell University,2.04,PhD,San Antonio,M,1.0,1,0,1,Junior SWE,08/07,04/08,Senior Data Scientist,07/08,01/09,N/A,N/A,N/A
464,Rice University,2.59,PhD,San Antonio,M,1.0,1,0,2,Teaching Assistant,02/06,02/07,Junior SWE,05/07,12/08,Teaching Assistant,01/09,01/11
465,University of Massachusetts Amherst,3.34,PhD,San Antonio,F,N/A,0,N/A,4,Lawyer,08/04,11/04,Teaching Assistant,12/04,02/07,Junior SWE,04/07,03/09
466,Johns Hopkins University,3.08,Bachelors,Philadelphia,N/A,0.0,1,0,3,Senior Data Scientist,06/04,10/04,Senior SWE,11/04,01/06,Teaching Assistant,01/06,09/07
467,University of Texas at Austin,3.06,PhD,San Diego,N/A,0.0,1,N/A,0,Lawyer,01/04,06/04,Senior Data Scientist,08/04,09/06,Senior SWE,11/06,08/08
468,University of Connecticut,3.64,Bachelors,Los Angeles,N/A,1.0,1,N/A,1,Junior Data Scientist,08/04,08/06,Research Assistant,10/06,12/07,Junior SWE,01/08,11/09
469,University of Delaware,2.49,Masters,Phoenix,N/A,0.0,1,1,3,Junior SWE,01/05,01/06,Senior SWE,04/06,09/07,Teaching Assistant,11/07,09/08
470,Princeton University,2.69,Bachelors,Philadelphia,N/A,N/A,1,0,2,Lawyer,01/01,02/03,ML Engineer,04/03,02/05,Junior Data Scientist,04/05,05/06
471,University of Southern California (USC),2.55,Bachelors,San Jose,N/A,N/A,1,0,0,ML Engineer,09/09,10/10,Senior Data Scientist,11/10,11/12,Research Assistant,12/12,01/15
472,University of Massachusetts Amherst,3.87,Bachelors,New York City,M,1.0,0,1,3,Senior Data Scientist,03/04,10/06,ML Engineer,11/06,04/07,ML Engineer,06/07,10/09
473,University of Southern California (USC),3.45,PhD,Chicago,F,0.0,0,1,4,Senior Data Scientist,07/08,10/09,Junior Data Scientist,01/10,04/11,N/A,N/A,N/A
474,Carnegie Mellon University,2.22,PhD,Houston,N/A,N/A,1,1,4,ML Engineer,05/06,12/06,Senior SWE,12/06,08/09,Teaching Assistant,11/09,06/10
475,Boston University,3.61,PhD,Houston,M,0.0,1,1,3,Senior SWE,06/05,12/06,Senior SWE,01/07,07/08,Junior SWE,09/08,01/11
476,Rutgers University,2.83,Masters,New York City,N/A,1.0,1,1,1,Junior Data Scientist,12/02,12/03,Research Assistant,02/04,06/04,Senior SWE,07/04,08/05
477,University of Utah,3.53,Masters,Phoenix,N/A,N/A,1,N/A,3,Junior SWE,07/06,07/07,ML Engineer,10/07,05/09,Junior SWE,07/09,02/11
478,University of Connecticut,3.76,PhD,Philadelphia,N/A,N/A,0,0,2,Senior SWE,09/01,05/04,ML Engineer,06/04,10/06,Junior SWE,01/07,01/09
479,Indiana University Bloomington,2.03,PhD,Chicago,M,0.0,0,1,3,Senior SWE,09/06,04/09,Junior Data Scientist,05/09,08/10,Senior SWE,10/10,10/12
480,University of Kentucky,2.41,Masters,Los Angeles,F,1.0,0,1,3,Junior SWE,11/09,01/11,Junior SWE,04/11,08/11,Junior Data Scientist,09/11,04/13
481,Emory University,2.2,Masters,San Antonio,M,N/A,0,N/A,3,Junior SWE,03/08,07/10,Research Assistant,09/10,09/11,Research Assistant,10/11,11/12
482,Harvard University,2.06,PhD,Chicago,N/A,N/A,0,0,1,Teaching Assistant,06/01,02/03,Teaching Assistant,04/03,10/04,ML Engineer,12/04,11/05
483,University of Notre Dame,3.19,Bachelors,Philadelphia,N/A,1.0,0,N/A,4,Research Assistant,11/03,01/05,Senior Data Scientist,01/05,05/07,Lawyer,07/07,07/08
484,University of Missouri,3.4,Masters,Philadelphia,N/A,1.0,0,N/A,2,Senior SWE,08/03,04/04,ML Engineer,05/04,03/05,ML Engineer,03/05,08/07
485,Indiana University Bloomington,2.09,Bachelors,San Antonio,M,N/A,1,N/A,4,Junior Data Scientist,07/09,03/10,Senior Data Scientist,05/10,02/11,Junior SWE,04/11,02/12
486,University of Cincinnati,3.48,Masters,San Antonio,N/A,0.0,1,N/A,0,Lawyer,12/03,04/05,Junior Data Scientist,05/05,09/07,Senior SWE,09/07,11/09
487,Boston University,2.8,PhD,Los Angeles,N/A,0.0,0,1,2,Junior Data Scientist,10/03,08/04,Research Assistant,11/04,06/05,Junior Data Scientist,07/05,12/07
488,University of Missouri,2.46,Masters,San Diego,F,N/A,1,N/A,1,Lawyer,08/01,10/03,Senior SWE,11/03,04/06,ML Engineer,04/06,11/08
489,University of Massachusetts Amherst,2.43,PhD,San Antonio,F,1.0,0,1,0,Research Assistant,09/08,07/09,Senior Data Scientist,07/09,05/11,N/A,N/A,N/A
490,University of Georgia,3.72,Masters,San Jose,N/A,0.0,0,N/A,3,Senior SWE,10/05,05/06,Junior Data Scientist,07/06,10/08,Junior SWE,01/09,09/11
491,University of Washington,2.11,PhD,Phoenix,N/A,N/A,0,1,0,Research Assistant,11/00,02/03,Junior Data Scientist,03/03,01/04,Junior SWE,04/04,11/06
492,University of Washington,3.0,Bachelors,San Antonio,M,1.0,0,1,4,ML Engineer,03/03,02/05,Teaching Assistant,05/05,08/06,Senior SWE,10/06,04/08
493,University of Florida,2.57,Masters,San Jose,N/A,1.0,1,0,4,Junior Data Scientist,12/01,12/02,Teaching Assistant,02/03,02/04,Teaching Assistant,02/04,10/04
494,Stanford University,3.63,Bachelors,San Jose,M,N/A,1,N/A,4,Research Assistant,02/06,11/06,Senior Data Scientist,01/07,09/08,Senior SWE,11/08,12/10
495,Vanderbilt University,3.46,PhD,Chicago,F,0.0,1,1,1,ML Engineer,11/05,09/06,Junior Data Scientist,12/06,05/07,ML Engineer,06/07,09/08
496,Pennsylvania State University,2.63,PhD,San Antonio,F,N/A,1,1,0,Senior Data Scientist,11/08,04/09,Lawyer,05/09,09/09,N/A,N/A,N/A
497,University of Southern California (USC),3.19,PhD,Houston,M,1.0,0,1,4,Lawyer,07/01,05/03,N/A,N/A,N/A,N/A,N/A,N/A
498,Duke University,3.34,Bachelors,Philadelphia,M,1.0,0,0,0,Junior SWE,03/03,09/05,ML Engineer,12/05,12/07,Teaching Assistant,01/08,08/09
499,University of Pittsburgh,2.64,Masters,San Jose,F,1.0,1,1,2,Teaching Assistant,12/05,08/06,Research Assistant,10/06,07/07,Research Assistant,09/07,02/09
500,University of Pennsylvania,2.6,Bachelors,Houston,N/A,N/A,0,N/A,3,ML Engineer,08/06,11/07,Teaching Assistant,11/07,11/09,Lawyer,11/09,02/11
501,University of Iowa,2.28,PhD,Los Angeles,M,1.0,0,N/A,2,Junior Data Scientist,03/06,08/06,Lawyer,08/06,11/07,Lawyer,12/07,08/09
502,Stanford University,3.32,Bachelors,Philadelphia,N/A,N/A,1,N/A,1,Junior Data Scientist,01/00,05/00,Senior SWE,07/00,02/03,Junior SWE,03/03,01/05
503,New York University (NYU),2.44,Bachelors,Philadelphia,F,0.0,1,N/A,2,ML Engineer,06/04,09/06,Senior SWE,11/06,02/09,Research Assistant,04/09,11/09
504,University of Arizona,2.6,Masters,San Antonio,N/A,0.0,0,0,4,Senior SWE,12/02,09/04,N/A,N/A,N/A,N/A,N/A,N/A
505,Stanford University,2.12,Masters,Phoenix,F,0.0,0,0,1,ML Engineer,04/01,07/02,N/A,N/A,N/A,N/A,N/A,N/A
506,University of Tennessee Knoxville,3.89,Bachelors,Los Angeles,N/A,N/A,0,1,4,Senior SWE,08/08,02/11,N/A,N/A,N/A,N/A,N/A,N/A
507,Johns Hopkins University,3.75,Masters,San Antonio,M,1.0,0,0,2,Senior Data Scientist,03/00,02/02,ML Engineer,04/02,05/04,Teaching Assistant,07/04,05/05
508,University of Miami,3.82,PhD,San Diego,N/A,1.0,0,0,2,ML Engineer,08/02,05/04,Junior Data Scientist,05/04,04/06,ML Engineer,05/06,03/07
509,California Institute of Technology (Caltech),3.25,Masters,San Jose,M,0.0,1,0,3,ML Engineer,09/04,01/06,Research Assistant,02/06,12/06,Senior Data Scientist,03/07,04/08
510,Emory University,2.85,PhD,New York City,N/A,1.0,1,N/A,2,Lawyer,08/07,02/08,Senior SWE,04/08,11/08,Senior Data Scientist,11/08,12/09
511,University of Washington,2.99,Masters,New York City,N/A,0.0,1,1,1,Junior Data Scientist,02/04,02/05,ML Engineer,04/05,07/07,N/A,N/A,N/A
512,Rice University,3.94,Bachelors,San Antonio,M,0.0,1,N/A,1,Teaching Assistant,11/05,07/06,ML Engineer,08/06,05/09,Teaching Assistant,07/09,10/11
513,University of Kentucky,3.88,Masters,Los Angeles,F,0.0,1,1,1,Lawyer,12/09,07/10,Junior SWE,07/10,07/12,Lawyer,09/12,03/14
514,Emory University,3.34,Masters,Dallas,M,N/A,0,1,1,Lawyer,07/00,02/01,ML Engineer,05/01,01/03,Junior Data Scientist,02/03,03/05
515,University of Missouri,3.57,Bachelors,San Diego,N/A,1.0,1,1,3,Teaching Assistant,05/04,05/05,Junior Data Scientist,05/05,04/07,Junior SWE,05/07,12/09
516,University of Houston,2.63,Masters,San Jose,F,1.0,1,1,1,Research Assistant,02/06,06/07,Research Assistant,07/07,02/08,Research Assistant,04/08,03/09
517,University of North Carolina at Chapel Hill,2.83,Masters,Phoenix,N/A,N/A,1,0,1,Junior SWE,11/04,06/06,Lawyer,07/06,12/06,Teaching Assistant,01/07,03/08
518,Yale University,2.29,Bachelors,Houston,M,1.0,0,N/A,0,Junior Data Scientist,08/05,09/07,Research Assistant,10/07,03/10,Junior SWE,04/10,10/11
519,Stanford University,2.75,Bachelors,Philadelphia,N/A,0.0,1,0,0,Teaching Assistant,07/05,01/08,N/A,N/A,N/A,N/A,N/A,N/A
520,University of Massachusetts Amherst,3.5,Masters,San Antonio,F,N/A,0,N/A,4,Senior Data Scientist,11/05,01/07,Senior SWE,04/07,10/07,Junior Data Scientist,12/07,04/08
521,University of Hawaii at Manoa,2.94,Masters,New York City,F,1.0,1,1,3,Senior SWE,01/03,11/03,ML Engineer,12/03,03/05,N/A,N/A,N/A
522,University of Notre Dame,3.69,Bachelors,Chicago,M,0.0,1,1,3,Research Assistant,09/06,06/07,ML Engineer,07/07,03/09,Lawyer,03/09,07/10
523,University of Tennessee Knoxville,2.6,Masters,Chicago,M,1.0,0,N/A,4,Lawyer,07/02,10/03,ML Engineer,10/03,07/05,N/A,N/A,N/A
524,University of South Carolina,3.41,Bachelors,San Diego,M,0.0,0,1,2,Lawyer,06/03,03/05,ML Engineer,04/05,09/06,Teaching Assistant,11/06,07/07
525,University of Tennessee Knoxville,3.61,PhD,Houston,F,N/A,1,1,3,Senior Data Scientist,02/06,08/07,ML Engineer,08/07,11/07,Junior SWE,01/08,05/09
526,University of Missouri,3.82,PhD,Philadelphia,N/A,N/A,1,1,2,Senior Data Scientist,09/05,05/08,Junior SWE,06/08,05/09,Teaching Assistant,06/09,09/10
527,University of Cincinnati,3.12,Masters,Houston,F,N/A,0,N/A,3,ML Engineer,01/04,04/04,Junior SWE,05/04,11/04,Lawyer,12/04,06/05
528,Carnegie Mellon University,3.93,Bachelors,New York City,N/A,0.0,1,1,1,ML Engineer,09/00,07/01,Junior Data Scientist,08/01,09/02,Junior SWE,11/02,12/03
529,Stanford University,3.11,Bachelors,San Antonio,F,0.0,0,1,0,Senior Data Scientist,02/05,08/05,Junior SWE,09/05,08/06,Junior Data Scientist,10/06,10/07
530,Northwestern University,2.26,Masters,Houston,M,0.0,0,1,0,Senior Data Scientist,12/07,02/09,Senior SWE,02/09,11/10,N/A,N/A,N/A
531,University of Pennsylvania,2.48,Masters,San Diego,M,0.0,1,0,3,Junior Data Scientist,12/07,04/08,Lawyer,06/08,04/10,ML Engineer,06/10,01/11
532,Michigan State University,2.4,Masters,San Antonio,M,N/A,1,0,1,ML Engineer,06/08,03/09,Senior Data Scientist,06/09,09/10,Junior Data Scientist,10/10,12/12
533,University of Arizona,3.29,Masters,New York City,N/A,N/A,0,N/A,4,Teaching Assistant,01/01,05/03,Senior SWE,08/03,03/04,Senior Data Scientist,04/04,02/05
534,University of Washington,3.84,Masters,Los Angeles,N/A,N/A,1,N/A,3,Junior Data Scientist,08/04,04/06,Junior SWE,05/06,10/08,Teaching Assistant,10/08,04/09
535,University of Connecticut,3.69,PhD,Houston,N/A,N/A,1,1,3,Lawyer,11/02,05/04,Research Assistant,07/04,02/07,Teaching Assistant,03/07,08/08
536,University of Kentucky,2.18,Bachelors,Houston,N/A,0.0,1,0,0,Senior Data Scientist,07/04,07/05,ML Engineer,08/05,11/06,Junior SWE,11/06,07/08
537,Duke University,3.44,PhD,San Antonio,N/A,0.0,0,1,1,Senior Data Scientist,06/09,08/11,Senior Data Scientist,10/11,01/12,Senior Data Scientist,03/12,03/14
538,University of Georgia,2.38,Bachelors,San Jose,M,1.0,1,0,2,Teaching Assistant,05/03,08/05,Junior Data Scientist,09/05,05/06,Lawyer,07/06,08/08
539,University of Missouri,2.53,Masters,San Diego,M,0.0,0,N/A,0,Junior SWE,12/03,03/04,Lawyer,04/04,08/05,N/A,N/A,N/A
